linea,nombre,ip
A,San Pedrito,172.21.31.25
A,Flores,10.0.0.2
A,Carabobo,10.0.0.3
A,Puan,10.0.0.4
A,Primera Junta,10.0.0.5
A,Acoyte,10.0.0.6
A,Rio de Janeiro,10.0.0.7
A,Castro Barros,10.0.0.8
A,Loria,10.0.0.9
A,Pza. Miserere,10.0.0.10
A,Alberti,10.0.0.11
A,Pasco,10.0.0.12
A,Congreso,10.0.0.13
A,Saenz Peña,10.0.0.14
A,Lima,10.0.0.15
A,Av. de Mayo,10.0.0.16
A,Piedras,10.0.0.17
A,Perú,10.0.0.18
A,Pza. de Mayo,10.0.0.19
B,Rosas,10.0.1.1
B,Echeverria,10.0.1.2
B,De los Incas,10.0.1.3
B,Tronador,10.0.1.4
B,Lacroze,10.0.1.5
B,Dorrego,10.0.1.6
B,Malabia,10.0.1.7
B,Angel Gallardo,10.0.1.8
B,Medrano,10.0.1.9
B,Carlos Gardel,10.0.1.10
B,Pueyrredon,10.0.1.11
B,Pasteur,10.0.1.12
B,Callao,10.0.1.13
B,Uruguay,10.0.1.14
B,Pellegrini,10.0.1.15
B,Florida,10.0.1.16
B,Alem,10.0.1.17
C,Constitucion,10.0.2.1
C,San Juan,10.0.2.2
C,Independencia,10.0.2.3
C,Moreno,10.0.2.4
C,Diagonal Norte,10.0.2.5
C,Lavalle,10.0.2.6
C,San Martin,10.0.2.7
C,Retiro,10.0.2.8
D,C. de Tucuman,10.0.3.1
D,Juramento,10.0.3.2
D,J. Hernandez,10.0.3.3
D,Olleros,10.0.3.4
D,Mtro. Carranza,10.0.3.5
D,Palermo,10.0.3.6
D,Pza. Italia,10.0.3.7
D,Scalabrini O.,10.0.3.8
D,Bulnes,10.0.3.9
D,Aguero,10.0.3.10
D,Pueyrredon,10.0.3.11
D,Fac. de Medicina,10.0.3.12
D,Callao,10.0.3.13
D,Tribunales,10.0.3.14
D,9 de julio,10.0.3.15
D,Catedral,10.0.3.16
E,Virreyes,10.0.4.1
E,Varela,10.0.4.2
E,M. Milagrosa,10.0.4.3
E,Emilio Mitre,10.0.4.4
E,J. M. Moreno,10.0.4.5
E,Av. La Plata,10.0.4.6
E,Boedo,10.0.4.7
E,Gral. Urquiza,10.0.4.8
E,Jujuy,10.0.4.9
E,Pichincha,10.0.4.10
E,Entre Rios,10.0.4.11
E,San Jose,10.0.4.12
E,Independencia,10.0.4.13
E,Belgrano,10.0.4.14
E,Bolivar,10.0.4.15
E,Correo Central,10.0.4.16
E,Catalinas,10.0.4.17
E,Retiro,10.0.4.18
H,Fac. de Derecho,10.0.5.1
H,Las Heras,10.0.5.2
H,Santa Fe,10.0.5.3
H,Cordoba,10.0.5.4
H,Corrientes,10.0.5.5
H,Once,10.0.5.6
H,Venezuela,10.0.5.7
H,Humberto 1°,10.0.5.8
H,Inclan,10.0.5.9
H,Caseros,10.0.5.10
H,Pque. Patricios,10.0.5.11
H,Hospitales,10.0.5.12
